Gene_ID	Pt_1	Pt_2	Pt_3	Pt_4	Pt_5	Pt_6	Pt_7	Pt_8	Pt_9	Pt_10	Pt_11	Pt_12	Pt_13	Pt_14	Pt_15	Pt_16	Pt_17	Pt_18	Pt_19	Pt_20	Pt_21	Pt_22	Pt_23	Pt_24	Pt_25	Pt_26	Pt_27	Pt_28	Pt_29	Pt_30	Pt_31	Pt_32	Pt_33	Pt_34	Pt_35	Pt_36	Pt_37	Pt_38	Pt_39	Pt_40	Pt_41	Pt_42	Pt_43	Pt_44	Pt_45	Pt_46	Pt_47	Pt_48	Pt_49	Pt_50	Pt_51	Pt_52	Pt_53	Pt_54	Pt_55	Pt_56	Pt_57	Pt_58	Pt_59	Pt_60	Pt_61	Pt_62
ALAS1	7.52733112842462	7.34366943381369	7.03299502523105	7.4326746201387	6.65896125559316	7.52379902450945	7.60287056068282	7.33904170480273	7.76688180238233	7.42921127771014	6.83102843370472	7.19539798737393	8.18861074247752	7.4581994354676	7.18106505833066	8.86297339868927	7.13661642827224	6.95759007776938	7.55456393936582	7.40019510108082	7.39034248770482	7.20376122805117	6.95598923043542	7.05802129064781	7.85691013886265	7.83154245413143	8.21104346514102	7.82333948987297	7.48987532023038	7.89939381844013	7.34361930933511	6.84486805699813	7.29149785946588	7.21229667965452	6.60955504312577	7.44110257001311	7.25007305117035	6.69996292199944	7.7926775754052	7.224347693843	7.90981131341318	7.56825927058066	7.44144894572794	7.26565423361242	7.95150344018507	7.967579756149	7.73485154260465	7.8475007515217	8.36915241809132	6.84305189073624	7.70723144704481	6.94350132663464	6.72934068027121	7.03866381480569	7.43121102741625	8.13451880002787	6.73522664030275	7.33956311648256	7.24985349032272	8.37017057436422	7.21711317604523	7.70377376995595
ALCAM	7.30306141338365	7.36188638539921	7.61291660235254	8.24863201487728	5.80947156178377	7.52291189853443	7.39080287183328	7.0718606425539	8.74739666740499	7.4461753118121	7.41328569098782	6.8222405450817	8.1195693390248	7.41813190684084	8.45742872032885	8.50724171015809	8.4102084531147	7.86765044788203	8.24626775151966	7.91354830288076	7.09998708962478	8.00556809517597	7.46113102323779	7.51981051111358	7.76310315061338	7.43409279490095	9.02440596527554	6.56921664679674	8.13337093469847	7.67250093564851	6.07198045195605	8.87780296985123	6.50572377165613	7.63989478133106	8.40267809064902	7.7171189887587	7.29066257392988	5.56084027678751	6.92197280354329	6.93795386593732	8.30396064713108	10.0334460904294	8.69183490425958	6.67441948749319	4.95249884410783	4.64640508675472	7.74117358730498	6.99413980423683	8.3092306503556	7.92378145198364	8.04066190444205	7.66647396285175	8.02150657201784	6.6450275020143	7.1305197137513	8.62546335869184	7.88558135410646	9.20657464337548	7.33821729164848	6.29614463716905	8.8631635279536	8.7079023853377
AMBP	3.71642555379369	4.50235591095364	4.8100253246905	4.38510689167134	5.13978404582192	4.76945292183065	4.7447151034592	5.16624847139544	3.75724258502257	4.80995136475031	5.96320877808071	4.70219887380844	3.81142372817076	4.51812424339507	4.72065525316621	4.86474055939126	3.60581857551345	4.29055214825025	4.30313513036184	4.28183840562575	5.61935336041585	4.76156364646826	3.35587061877157	4.54399679603006	4.1876536264008	5.16992489039187	5.86071704864973	4.07477339982604	4.85948410424773	5.12975168394004	4.10125465336678	4.52633432628611	5.06417801019557	6.9106858045636	4.16577822499972	4.06927258313143	5.49973149099492	5.64409610276618	4.96167602874676	3.54969511606728	4.69184755602133	4.77719249344523	4.1822110548448	6.04095169035842	3.38714515149156	4.90307314136329	4.49645206339054	4.52841933415827	4.3775222420526	4.24257864951459	4.94598145853079	5.37289949259879	4.26373293607158	4.99701247522178	4.36166372427239	4.6362771448271	4.14637462847427	4.89720070747501	4.91792564839107	5.54270847699762	3.9892586726514	4.08513779883764
AMICA1	7.31245453972887	6.23628680336	6.73379889830913	7.1698787825315	6.1852397654427	6.80095722576301	6.92250996960212	7.83651576029204	7.43786330952586	6.4636216120694	6.45712947110369	7.99632049471529	6.36929040618599	7.46510807035964	6.04607196266333	7.36658419113716	7.08801776619825	7.26398953601288	6.61397733230728	8.5725358120417	8.1579127177469	8.20647264333169	7.44546003298881	7.18386707744163	7.48178576274133	6.13850251728198	6.17193770276928	7.12665704776138	7.03815447162838	7.81185253532329	8.77958189510592	6.25841423724845	8.27308843958154	7.72550020102096	6.84720339669209	6.85466117762531	8.63189208184697	6.92252071070238	6.75626638513298	7.7463708231732	7.80225579287296	7.62882656742974	7.59346545109901	5.75541725649624	7.01655603748331	7.59359411575115	7.58751883899064	9.68696829620389	6.24330438059293	7.27435317945772	7.11340191043348	7.06232856693037	7.63053023080854	7.50994296535728	6.86253202222438	7.25960992432423	6.98914627834085	7.20736207852866	7.29868125417659	7.08955106073213	7.07165216387745	6.60769640083945
AMMECR1L	8.62271470381442	8.52486025197795	8.93148402744673	8.04250670918927	8.77133941086211	8.72230874640537	8.32348074108424	8.01639676926321	8.4359895989516	8.88384367452444	8.08194050837488	8.60183522666867	8.90383838884813	8.35748860923012	9.21760010210008	9.05397442131565	9.28124473602829	8.05572671242474	8.48431207638951	8.14773684704741	8.08744625379063	8.50315382344877	7.9702810047376	8.26405900849453	8.9495718004698	8.49183121788867	8.74462690334849	8.71873423161729	8.78941176878692	8.98397840402191	8.47866492577118	8.67292572253603	8.03457058877912	8.24470774210419	8.23846446987188	8.8840813847276	7.81866291127335	7.98745669352337	8.29888366591827	9.04316685557064	9.3054325121591	8.75764568656938	8.08277468084061	7.99716738684035	8.33274411145323	8.13151378584736	8.4961491456405	8.3185175448638	9.42745675590853	8.75015470129594	8.5545755085022	8.63231552288466	9.01754512557399	7.9066543248597	7.64975105302934	8.81688129770489	8.80750311278241	8.45315487439813	8.99670487020106	8.34288816258277	9.18787721635017	8.75193966068999
ANP32B	10.5998398276438	11.5082109299758	10.3603367270346	11.0155176716443	10.5997446398045	11.0157980002004	10.7231974072975	9.5626893577198	10.719111322252	11.9853650655429	10.4976370482204	10.0950975540858	10.5208506596952	10.9393051827223	11.4046146449191	11.1198684941456	10.0937666798433	10.9598905271051	10.9433164068346	10.4307965313443	10.6895456578015	10.5823290708275	10.0932508436866	10.1372187715914	10.3654923805205	9.60714143061136	10.835536114342	10.4830140499502	10.7675029555623	9.65090646493428	9.80501236470027	10.3028236223278	10.3791031782712	10.9509871086209	11.3916976200726	10.4355138462058	10.5771330531037	9.22276216209087	11.0875445039683	10.3878380009262	9.76741164631742	10.8896430038271	11.2475544816965	10.1609996519589	10.1627676796308	9.09009158650399	11.2000918243042	10.2525630972105	11.5451552235448	10.09971004451	10.364801603868	11.1275621704479	9.24108396641643	10.6269675816607	9.60825712112535	10.7501071339145	10.4728092895091	12.0382152297717	10.1268103829295	10.4514373765934	9.7413246280648	10.6835836318493
ANXA1	11.4111283844866	12.2041107650494	11.6113573929471	12.1501648419508	11.9421827947615	12.1653658724508	12.0203511733923	10.605916997736	12.071767920201	12.8648102823276	10.8953538866638	10.6844498379519	11.8356644968111	11.9705613229014	12.6982666038999	11.0281560123559	11.7469474094576	11.0768518773138	11.7415725124005	11.5788734598232	9.97616856543046	11.8822594969649	10.445777977096	12.2289827199881	11.9068396689026	11.5839723523773	11.5897809904234	10.489976378103	11.1393845569245	11.164914621166	12.0391173371749	11.1999420843588	11.3130023072286	11.3659988174862	11.0216046496905	12.4049596629267	10.2914568180317	11.9629959188001	10.3996630805519	11.0685670658671	10.1482600498274	9.49489793535339	11.3903959184903	11.3434742088946	10.9571808723807	9.54415022110364	10.6019029851289	9.55443710037891	11.2875733334713	10.9274882607484	10.4243140683738	11.7888655956398	10.0061237390677	10.6112081573125	10.6258466612904	11.2988987075724	9.875382743796	10.0932269364044	10.7738757613728	11.7868194093065	10.8882747153586	10.6682881449581
APOE	10.470613256823	12.0338168911294	10.8128889665401	10.8436783593857	9.10953863733798	12.4962734258707	10.7598845986369	12.3476420318483	10.697058555078	9.15327856413504	9.44386947088123	9.46810838748452	10.1681883612984	11.9692255160887	10.1535275682396	10.1344344007451	9.37072010137379	11.1504999588884	9.70244285908228	11.5117309359725	10.8288564384033	11.6010628239856	10.4161019917081	12.2207796809653	9.159450547003	11.2668016067255	9.65150942781432	10.8920515068307	8.60432421434945	10.8201597182953	10.8661678740808	12.1196279195537	9.02453702017888	10.9620109999692	9.25253708371921	10.3419836358283	10.55865484033	8.0850929231575	11.0896194101816	9.20984716666322	10.6909732312246	10.5457800378924	10.514020396486	11.4595294937586	10.6310065309362	10.3300696256594	10.4050928799413	9.5730444403487	11.9105986082629	9.80036326808466	10.2224494039915	9.350716165124	9.45795627112493	10.3396703895923	10.9686504880036	10.9089755112326	12.3173838182439	9.57034176956789	8.55284803683108	9.25969478692024	9.86206283690116	9.62793896312897
APP	11.3310066465552	12.2723261411269	11.4521030612314	12.5821865016957	12.6139002234132	11.9596275127735	12.3865392234517	11.3347254921584	11.4940984978016	15.4714101826888	11.4964714656368	11.9446343907859	13.0030013755398	10.9796162229398	12.0714031484377	11.846086934882	10.9053634195754	11.1646634815408	12.6691588606069	10.307077965731	10.9426469477779	12.6339742643169	12.4411732334828	12.7566867587153	12.6813863026669	12.1823120683586	10.9239677431902	11.6306220808673	10.8473511294402	11.7097857789144	12.538820933052	11.8422340866351	11.5049854998352	11.2084666940551	11.5143756642743	12.1437891362806	10.38540392021	10.4392344577244	10.6873368526214	11.425498667401	10.855125778191	10.4261806891194	11.9741207266225	12.5121881514653	12.6717488190961	10.2504360087981	10.2640513760521	10.5531595687219	11.9491254182118	11.7324951073698	11.4382998507713	11.3190171997648	10.649460470054	11.9858100852047	11.7158789283235	11.41558421396	10.9492712866837	11.9627009021228	10.1610857650061	11.2953503837048	11.0619725088829	11.8693114089671
ARG1	3.18335517678545	4.91628960962824	4.11088946358644	4.36071642400909	4.6257448863561	3.96213319822777	3.62564895194015	3.5594954613749	3.23348806331935	3.69947221228804	4.81168264059466	4.99840871693564	3.90622764745042	4.68612864450951	4.78969396002148	3.89761896554302	3.30992859596709	4.64451543776932	4.20526156679376	4.21587082272077	5.94792907161397	4.17501572628985	4.64763889960251	3.59563447789197	4.08369582243008	3.90206349107973	4.42574700217876	4.39773485904128	4.815896435279	5.15237043174931	5.14533379109837	4.66688861552163	5.12297355973508	4.56979500022654	4.14100273371183	4.10523022347997	4.82532191059401	4.59811741728231	4.5212786357883	3.87328804241701	4.45632671592897	5.18026800161293	4.19746365006738	5.30901304492187	3.32545864077737	4.66382413629201	5.13875557433294	5.12917054722414	4.43048547670056	4.02641111026789	4.87235686490815	4.64770067876911	4.35565069878693	3.54476735509955	4.63737076012497	4.19134713666358	3.99098050011887	4.49250105173228	5.16229530906612	5.3888914308008	4.09466477168225	4.92639934497306
