Gene_ID	clet_l1370	clet_l1378	clet_l1382	clet_l1386	clet_l2068	clet_l2178	clet_l2289	clet_l2292	clet_l2294	clet_l2295	clet_l2297	clet_l2302	clet_l2347	clet_l2376	clet_l2611	clet_l2613	clet_l2615	clet_l2617	clet_l2620	clet_l3443	clet_l3444	clet_l3445	clet_l3453	clet_l3454	clet_l3455	clet_l3456	clet_l3457	clet_l3458	clet_l3459	clet_l3461	clet_l3462	clet_l3464	clet_l3466	clet_l3467	clet_l3469	clet_l3471	clet_l3472	clet_l3473	clet_l3474	clet_l3475	clet_l3476	clet_l3477	clet_l3533	clet_l3535	clet_l3536	clet_l428	clet_l432	clet_l436	clet_l975	clet_l997	clet_l1016	clet_l1085	clet_l1369	clet_l1376	clet_l2296	clet_l2301	clet_l2616	clet_l3431	clet_l3432	clet_l3433	clet_l3434	clet_l3436	clet_l3439	clet_l3440	clet_l3441	clet_l3442	clet_l3447	clet_l3449	clet_l3463	clet_l3537
SPA17	8.98555735370211	8.4797802640291	8.32102612859297	8.61213130001343	9.17791779219584	8.43421120348557	8.50422311991285	8.22833771198138	8.41362792902417	8.65642486327778	8.66391384211598	8.87067295482459	9.35138098067433	8.74011804283313	8.72689931847653	8.32822611878773	8.25313836969129	8.78561593708862	8.8376279331714	8.92273304987684	8.62899225714273	8.27798474729977	8.24317398347295	7.61911951145322	8.52512925120397	8.40811740799184	8.03507399737762	8.73707830031375	8.60584986719498	8.17791779219584	7.87590290312483	8.48341273352902	8.64565843240871	8.3671963100259	8.01625115501275	8.91498301655724	9.24935052362723	8.60954813899943	8.22833771198138	8.83605035505807	9.9579726209154	9.54920708935568	8.01346225980656	8.0703893278914	8.15734693536284	8.84486265583082	8.72417275014144	8.96260685912106	8.08587075533461	8.65427799526124	10.4224853156703	8.34296357439873	8.50620838930674	9.40109283692467	8.41869594960205	8.25738784269265	8.31741261376487	8.53605290024021	8.19672506078603	8.60733031374961	9.84329297333358	8.05202456048283	8.40215936690663	9.64907650318607	9.15456498245423	10.1478408936723	8.17392693199981	8.39102872681019	8.86046625851717	7.86666075081999
ABCB1	7.97498811199193	7.36544758855011	7.66391384211598	7.50064273606281	7.52904005609508	7.47897180503294	8.33449676839042	7.63081315229913	7.63154086734149	7.54689445988764	7.47654370621426	7.4708621994137	7.54843662469604	7.75688985507462	7.467605550083	7.48784003382305	7.78004757606187	7.50541460934675	7.41447383643093	7.81185631429254	7.65391987311942	7.35314682549808	7.5337190711399	9.40917875950067	7.42794133250948	7.44542875923832	7.59245703726808	7.94251450533924	7.33091687811462	7.46270675067016	7.67595703294175	7.42794133250948	7.53605290024021	7.58796498888268	7.44708322620965	7.4846215270986	7.45368218587218	8.12773644358883	7.9188632372746	7.89905475619441	7.53294028837287	7.49825086752783	7.42206476617281	7.46923479366766	7.46188866443282	7.55228483994351	7.55382125653269	7.44708322620965	7.56757586852411	7.4520352735462	8.32777717058405	7.43962313755712	7.63444806236231	7.39059890555246	7.60954813899943	8.04930403348226	7.39574832817903	10.2169883075768	7.45450493755737	8.08852325661663	9.72349030214343	7.79571500650173	7.45532722030456	7.54843662469604	7.44625622988956	7.68369645430652	7.29737486052833	7.41362792902417	8.15785216914174	10.5321610849832
CHUK	8.93957921431469	8.79376585730965	9.05229633123637	8.4487357980294	8.59842476052772	8.5208150858443	9.21359030288131	8.80638850801618	8.40471582659663	8.83541884047548	8.58345891013077	8.97670731184688	8.65999589242998	8.81378119121704	8.54457811733884	8.48260630810786	8.81249822533356	8.63843591399047	9.39253209356866	9.11243950678155	9.09011241966429	8.65356166205839	8.50977500432694	8.86542397831313	8.07414146275251	8.80542144617176	8.49705344454508	8.64637869954344	8.36806987653208	8.41278152533848	8.01625115501275	8.675604252639	8.43379405875492	8.21140163741847	8.59320435406329	8.5751610334254	8.67313237214536	8.69104555348718	9.50660511556825	8.92451562222992	9.05066493825338	8.91199111369962	8.68685065339314	8.50898318485542	8.49305484153943	8.58721495245254	8.55343730575441	8.76884595975339	8.53060141451683	8.5461227588578	9.33046876659032	8.41531924814038	9.01597250797357	8.92362461136832	8.58759001940925	8.6499746511581	8.23122118071119	9.16515824538391	8.32822611878773	8.56453060081634	8.5184564558243	8.57099412874323	8.51491126486135	8.47937609116166	9.03562390973072	8.64313466185727	8.36981542428391	8.29874994724805	9.1048607997082	8.17342729734862
IL19	7.33985000288462	7.31831684133498	7.36544758855011	7.39231742277876	7.33539035469393	7.32553033156756	7.33449676839042	7.33539035469393	7.36806987653208	7.38801728534513	7.37851162325373	7.31922050252387	7.31922050252387	7.37677657188298	7.33091687811462	7.43462822763673	7.43462822763673	7.42290574261218	7.40854204229686	7.33806779754262	7.31831684133498	7.32012359804061	7.31650781910311	7.36106648879432	7.38111029409905	7.3566720442121	7.35226417325832	7.33628338786443	7.37155886261196	7.36194377373524	7.35579154675365	7.38973887867698	7.32822611878773	7.36632221424582	7.32282949762889	7.35138098067433	7.31922050252387	7.30012372456901	7.33002051583608	7.33360262826828	7.34695688937889	7.35402893805439	7.34607044078517	7.33181268381921	7.31288295528436	7.32732808262995	7.40002551791402	7.36544758855011	7.40769264866568	7.43212427264156	7.34961297182452	7.33091687811462	7.4110872267986	7.32373033752135	7.35402893805439	7.3819754785573	7.36194377373524	7.35402893805439	7.34340782229781	7.36457243229586	7.36457243229586	7.28632672709055	7.3371758685863	7.34784279363816	7.38370429247405	7.34251918966061	7.32732808262995	7.42794133250948	7.3566720442121	7.34340782229781
IL11RA	9.87190523765919	10.2945058800639	8.21480479494805	9.90568784852686	9.88919972573829	9.40917875950067	9.82304872916275	10.3734089602287	10.547183741386	8.63553675191785	10.1106138055009	9.80316244441589	9.012065787874	9.63063116616948	8.54303182025524	9.83636600871667	9.62552621187986	8.92985016214851	11.6253892233177	9.27868175755934	9.97956810009519	10.6069603445103	8.50819093055715	12.6473235047745	9.36172450250739	9.27798474729977	9.21650336806264	9.9179687275585	9.72314895704758	8.93398565445043	10.9650627567446	10.0144389865024	10.5798815894363	8.97956810009519	9.82001936342826	9.77725531519192	10.1734272973486	11.5381404209799	11.7186184934124	9.87159726561385	9.31628153174622	9.76304633942013	9.64637869954344	9.08401109845503	8.37068740680722	11.2380464096364	10.6000987445185	9.76652890859886	8.62716906084185	9.44625622988957	8.4643415327611	10.8951965725633	10.4699470095773	10.3282261187877	8.76055363297574	9.59954096564405	8.4761386254757	8.59058704991503	10.8559585614614	8.1053847492476	10.3175256732094	10.5436118758983	9.55746370159783	11.6940966635057	9.09671515448854	9.4890451251148	11.9913801205448	10.2334998466138	9.88294867271663	11.0297013383544
CD99	11.5609537282525	11.7834484691119	11.4871868554975	12.1458684773794	10.2343384486956	10.2823934689899	11.1299913093628	11.4725893089256	12.9952195010813	12.3947306294316	11.9852727142534	10.4533735329829	10.3114077488372	10.7030383889864	12.0294252773048	12.7515231381857	12.2643839528947	12.8726556442085	11.0247241392183	10.4696418172395	12.0756462731535	10.2680740865554	11.5173249109509	12.4272080694488	12.5512516403031	13.450837508496	12.4388957893991	13.3326799654911	10.3592004851336	12.1027302958016	13.4123978351248	12.7778922621195	10.8516709713903	12.4168502952965	11.5343515227352	10.0845426736419	9.8976942221838	11.4300343185735	11.5654829376658	10.9546325433311	9.19844504145236	10.7925463004384	13.7005697629145	12.5389648874515	11.5319174975916	12.0827145627809	13.1080670081169	11.1313425391233	11.5173249109509	12.4783398810621	11.1503184964563	12.059885201101	11.5924570372681	11.1394874017332	11.6418259720418	11.3539738218182	12.7992816215219	12.3136199932243	12.3394046579078	12.6648916692861	11.5404671144238	11.7731804259892	12.6870694391325	10.9372266739795	10.8685910878054	11.4224853156703	12.198475736765	13.008848763327	11.1171885353967	12.7620913109364
FAS	7.45121111183233	7.47654370621426	7.48139582415413	7.44211412241923	7.38973887867698	7.44956137461324	7.57213175138666	7.4594316186373	7.50143914515887	7.78463484555752	7.45450493755737	7.68860001099912	7.38024459047819	7.51648798090997	7.46107011403305	7.77214959078454	7.49984588708321	7.46597446450407	7.54457811733884	7.77873424411784	7.81057163474115	7.4594316186373	7.49745269597724	7.52120781622399	7.54997714277182	7.47654370621426	7.52199295640167	7.6667565918848	7.61323695471633	7.46515822966425	7.48220292629596	7.50858711208948	7.44045394382303	7.43295940727611	7.50858711208948	7.6560672737256	7.50143914515887	7.5438051759644	7.7292808460274	7.61249994573944	7.48864353985379	7.4110872267986	7.67171796512923	7.48220292629596	7.47897180503294	7.63662462054365	7.63952159951083	7.42877889133759	7.48864353985379	7.48944659862258	7.45450493755737	7.50064273606281	7.60214209069798	7.44294349584873	7.46842040186455	7.4643415327611	7.43295940727611	7.4262647547021	7.4262647547021	7.45450493755737	7.48944659862258	7.48542682717024	7.73470962022584	7.42122329922514	7.48944659862258	7.48623167798101	7.76221591572778	7.50303064564116	7.52356195605701	7.49825086752783
FLT3	7.4586116725846	7.39746072605472	7.43212427264156	7.4446008137115	7.4110872267986	7.38973887867698	7.70735913208088	7.39917109381982	7.44045394382303	7.46923479366766	7.4254257345907	7.41447383643093	7.40429006444484	7.47248777146274	7.42794133250948	7.43546191447928	7.44211412241923	7.41362792902417	7.40599235967584	7.68999797141945	7.43879185257826	7.48220292629596	7.43462822763673	7.40343816300828	7.42794133250948	7.34784279363816	7.40514146313634	7.40599235967584	7.40769264866568	7.37851162325373	7.41953889151378	7.4178525148859	7.44294349584873	7.44128427192704	7.4093909361377	7.41700858678878	7.41023933077602	7.41616416473313	7.43045255166553	7.54303182025524	7.4245862262511	7.41023933077602	7.41023933077602	7.42290574261218	7.41869594960205	7.43712784427281	7.38801728534513	7.43712784427281	7.41447383643093	7.39574832817903	7.39746072605472	7.43962313755712	7.48542682717024	7.41023933077602	7.36018867006271	7.48300957716455	7.41278152533848	7.41953889151378	7.39403389536778	7.41616416473313	7.3741700760685	7.38370429247405	7.40854204229686	7.42038134119664	7.38111029409905	7.39059890555246	7.4093909361377	7.40769264866568	7.41023933077602	7.44045394382303
C1QBP	10.8104913042731	10.6881628704204	10.8325735989774	10.1767964781476	9.99293833616581	10.6914818216089	10.4328550418808	11.1577890245946	9.63408498320074	9.99279674972467	10.6647139318162	10.2815823477054	11.3113509799923	10.2552646707997	10.5465086609708	10.9155059622319	10.6358087959881	10.7158762151107	10.9919469391518	10.0508009581508	10.5908677025841	10.4378560840782	10.0182001788132	10.0643385918828	9.34296357439873	10.2188053803736	9.13596574242734	10.1835113266951	10.7970129778361	10.2273752736262	10.7034710460719	10.790592862567	10.3572220823601	10.7241727501414	9.73267622307331	10.2299003062213	9.97312333067025	9.89860138740394	10.6862378767518	9.78675970126725	11.463984082435	10.867124267303	9.82097669262124	10.0091287895393	10.1382718001722	10.9062141737593	11.9606898003298	10.7466822618919	10.4323331016266	11.0866006794791	11.0386446865933	9.97570469425515	10.8016275334008	11.5401764828675	10.5560269927247	10.6696823225756	10.4925542360169	10.8891236562942	9.96231765494231	10.4936553389637	10.951357576513	10.104074518442	10.396711802067	10.631995502911	10.7402867297717	10.2631518078797	11.840738591133	10.0862689415575	11.5071008700286	10.1383998064756
ITGA1	8.14618679149074	7.85424505422013	8.14210705730255	7.65248649491816	8.40769264866568	8.45285896471381	7.93487029119203	7.94602898951548	8.03232128705788	7.57061472176119	8.01402047031493	7.53449743373817	8.48058827023386	7.70182625841206	7.76221591572778	7.97613447283165	8.07734982962161	7.68299458368168	7.44045394382303	8.02292258905563	8.85860271245712	8.14923903883703	7.50620838930675	8.41447383643093	7.72519581722666	7.57213175138666	8.74852832105729	7.59916899321943	7.46597446450407	7.63517394667492	7.58195375084882	8.04165915163722	7.85673675611911	8.20701432017753	7.48139582415413	7.95594045128948	7.8820316083521	9.56281480869233	7.80542144617176	7.68860001099912	7.75020450927987	7.97441458980553	7.47167521439204	7.91528186586766	7.91767043436176	7.96000193206808	7.90327934205614	8.49505552836802	8.35491051158679	8.62058641045188	8.12722055048807	7.86294724802092	7.76420813013995	7.90086680798075	8.54766574835342	8.11582397743624	7.99830835035429	8.19130601891869	7.7515440590891	7.86418614465428	7.67101024127845	8.7632123668144	8.24174486494015	8.77445763956529	8.14210705730255	8.50263293508292	7.55382125653269	8.14414836650889	8.05907401466356	7.5274770060604
FOXP3	7.45779126025604	7.48058827023386	7.4643415327611	7.44790974874208	7.50064273606281	7.52825874275841	7.44708322620965	7.46025109894385	7.47735352663456	7.45285896471381	7.46352437327118	7.4594316186373	7.4586116725846	7.456149034648	7.42794133250948	7.43962313755712	7.4520352735462	7.467605550083	7.42794133250948	7.45038647903429	7.56071495447448	7.50462039240355	7.45368218587218	7.43128865429159	7.42290574261218	7.43796008833447	7.43962313755712	7.45532722030456	7.4178525148859	7.45285896471381	7.4594316186373	7.44790974874208	7.44211412241923	7.44625622988956	7.44790974874208	7.49585502688717	7.44045394382303	7.46352437327118	7.46188866443282	7.54689445988764	7.49505552836802	7.51412226017071	7.43295940727611	7.45697038112101	7.45368218587218	7.46025109894385	7.48220292629596	7.4667902378031	7.44956137461324	7.44128427192704	7.4520352735462	7.4520352735462	7.43629511983936	7.48058827023386	7.45038647903429	7.46188866443282	7.46107011403305	7.45038647903429	7.42794133250948	7.43712784427281	7.44790974874208	7.4708621994137	7.46597446450407	7.49904859773388	7.36806987653208	7.4262647547021	7.44625622988956	7.42710328715284	7.46923479366766	7.4586116725846
