gene	TARGET_40_PASUUH_01A	TARGET_40_PAUTWB_01A	TARGET_40_PAPWWC_01A	TARGET_40_PAUUML_01A	TARGET_40_PAMHLF_01A	TARGET_40_PAUBIT_01A	TARGET_40_PASFCV_01A	TARGET_40_PAKXLD_01A	TARGET_40_0A4I4O_01A	TARGET_40_PASEFS_01A	TARGET_40_PARKAF_01A	TARGET_40_PAMHYN_01A	TARGET_40_PASEBY_01A	TARGET_40_PAKFVX_01A	TARGET_40_PASNZV_01A	TARGET_40_0A4I4M_01A	TARGET_40_0A4I42_01A	TARGET_40_PALECC_01A	TARGET_40_PANSEN_01A	TARGET_40_PALKDP_01A	TARGET_40_0A4I65_01A	TARGET_40_0A4I6O_01A	TARGET_40_PALFYN_01A	TARGET_40_PATPBS_01A	TARGET_40_PAPXGT_01A	TARGET_40_0A4HLD_01A	TARGET_40_PAUYTT_01A	TARGET_40_0A4I0W_01A	TARGET_40_PARFTG_01A	TARGET_40_0A4HX8_01A	TARGET_40_PATKSS_01A	TARGET_40_PASYUK_01A	TARGET_40_PAPNVD_01A	TARGET_40_PATMPU_01A	TARGET_40_PAPIJR_01A	TARGET_40_PAVDTY_01A	TARGET_40_PANGPE_01A	TARGET_40_PAMJXS_01A	TARGET_40_PAKZZK_01A	TARGET_40_PASKZZ_01A	TARGET_40_0A4HXS_01A	TARGET_40_PATEEM_01A	TARGET_40_PAVECB_01A	TARGET_40_PALKGN_01A	TARGET_40_PASRNE_01A	TARGET_40_PARGTM_01A	TARGET_40_PANGRW_01A	TARGET_40_PAVCLP_01A	TARGET_40_PAPKWD_01A	TARGET_40_PATAWV_01A	TARGET_40_PANXSC_01A	TARGET_40_0A4HMC_01A	TARGET_40_PALZGU_01A	TARGET_40_PANZZJ_01A	TARGET_40_PATMIF_01A	TARGET_40_PAUTYB_01A	TARGET_40_PAMTCM_01A	TARGET_40_PAVALD_01A	TARGET_40_0A4I8U_01A	TARGET_40_0A4I3S_01A	TARGET_40_PANVJJ_01A	TARGET_40_0A4I5B_01A
FAS	7.22881869049588	8.01680828768656	9.72109918870719	6.4594316186373	8.43879185257826	9.96434086779242	9.66177809777199	8.09275714091985	7.73470962022584	7.01122725542325	5.95419631038688	8.79441586635011	8.0389189892923	8.68299458368168	8.15987133677839	9.59245703726808	7.25738784269265	7.78790255939143	10.2609195336629	7.24792751344359	9.39446269461032	10.5216004397237	7.92481250360578	10.2667865406949	7.6724253419715	8.07146236255662	9.7632123668144	10.1459321458205	8.80089989992031	8.13955135239879	7.94251450533924	9.83289001416474	4.8073549220576	5.28540221886225	7.92481250360578	6.08746284125034	9.34872815423108	9.3037807481771	8.40087943628218	7.90689059560852	10.2336196767597	10.8008998999203	9.46352437327118	7.83920378809694	6.68650052718322	9.4241662888181	9.34872815423108	4.64385618977472	5.8073549220576	9.33539035469392	8.68299458368168	10.1786648510065	8.97441458980553	9.31741261376487	9.29001884693262	5.35755200461808	9.86108690599539	9.08214904135387	10.5097750043269	8.85486838326024	10.2819300269554	9.41574176829009
FLT3	3.4594316186373	3.32192809488736	2.8073549220576	1	3.4594316186373	0	3.16992500144231	1	1	5.04439411935845	3.58496250072116	2.8073549220576	3.8073549220576	4.08746284125034	4	4.24792751344359	3	0	2	1	0	0	4	5.88264304936184	4.39231742277876	4.24792751344359	4.39231742277876	1	2.8073549220576	5.16992500144231	3	6.4262647547021	6.94251450533924	3.70043971814109	2	1	2	3.32192809488736	3.16992500144231	0	3.70043971814109	6.08746284125034	3.16992500144231	1.58496250072116	3	1.58496250072116	3.70043971814109	3.8073549220576	2.8073549220576	2	3.70043971814109	5.20945336562895	3.4594316186373	2.32192809488736	3.4594316186373	6.10852445677817	2.58496250072116	2.58496250072116	3.70043971814109	4.95419631038688	3.58496250072116	4.85798099512757
FOXP3	7.16992500144231	6.37503943134692	5.97727992349992	4.08746284125034	5.20945336562895	6.35755200461808	4.85798099512757	3	3.8073549220576	5.12928301694497	3.4594316186373	5.78135971352466	5	4.39231742277876	7.03342300153745	7.33985000288462	4.16992500144231	3.32192809488736	5.28540221886225	6.53915881110803	6.24792751344359	6.14974711950468	6.4262647547021	5.93073733756289	6.95419631038688	7.01122725542325	3.8073549220576	4.90689059560852	4.16992500144231	6.74146698640115	4.75488750216347	7.38370429247405	5.88264304936184	5.12928301694497	5.04439411935845	5.08746284125034	3	6.32192809488736	6.12928301694497	3.16992500144231	5.08746284125034	6.88264304936184	2.8073549220576	4.64385618977472	6.12928301694497	4.16992500144231	6.59991284218713	6.12928301694497	4.52356195605701	5	5.28540221886225	7.4594316186373	6.10852445677817	3.4594316186373	7.4757334309664	8.37503943134693	6.12928301694497	4.64385618977472	7.33091687811462	7.74146698640115	6.98868468677217	7.12928301694497
ICAM2	7.57742882803575	8.7279204545632	11.6137894644726	4.90689059560852	8.84862294042934	6.95419631038688	7.467605550083	5.55458885167764	8.34429590791582	6.93073733756289	7.40087943628218	7.38370429247405	8.04984854945056	9.3151495622563	9.69174351917128	10.523561956057	7.876516946565	8.56985560833095	6.12928301694497	9.1006623390052	8.24792751344359	6.76818432477693	8.19475685442225	8.876516946565	9.12412131182919	7.43462822763673	7.44294349584873	9.56795607541547	9.07146236255662	8.47167521439205	7.64385618977472	8.43045255166553	7.76155123244448	8.71424551766612	7.87036471958341	5.04439411935845	8.34872815423108	9.15987133677839	8.18487534290828	7.13955135239879	7.49185309632968	9.83605035505807	6.6582114827518	8.95710204156229	10.2384047393251	6.4757334309664	8.46352437327118	8.80413102118332	8.07681559705083	6.4757334309664	8.58496250072116	8.90086680798075	9.17741953798924	7.35755200461808	9.06339508128851	10.1910592145317	10.1586096882145	8.08214904135387	9.65105169117893	10.7039035734447	7.60733031374961	9.44501484586842
IL11RA	8.57742882803575	7.21916852046216	7.09803208296053	10.0292872269682	10.8719052376592	9.9915218460757	8.01122725542325	8.31288295528436	8.54303182025524	11.1312139050863	5.08746284125034	6.79441586635011	7.3037807481771	7.56985560833095	6.4093909361377	9.16741814583174	7.5077946401987	7.21916852046216	8.5274770060604	9.14210705730255	9.64565843240871	7.96000193206808	7.14974711950468	9.23840473932508	6.90689059560852	6.64385618977472	7.02236781302845	10.4262647547021	5.64385618977472	10.2502984179063	9.66177809777199	7.67948009950545	7.52356195605701	8.25266543245025	7.3037807481771	7.37503943134692	10.2957689344205	8.40514146313634	8.02790599656989	9.01680828768656	11.4542992936199	10.0714623625566	8.05528243550119	9	7.12928301694497	4.32192809488736	10.5545888516776	9.33091687811462	7.60733031374961	7.4093909361377	9.31288295528436	9.74986942739684	7.79441586635011	9.26912667914942	7.35755200461808	6.64385618977472	11.981567281903	8.90989308377004	10.9136374280491	10.9693865213423	8.97441458980553	10.0056245491939
IL19	0	0	0	0	0	0	2.32192809488736	0	0	2.58496250072116	0	0	1.58496250072116	0	0	0	1.58496250072116	0	0	1	0	0	0	0	1.58496250072116	4	1	0	0	0	0	1	2.58496250072116	0	0	0	0	1	0	2.8073549220576	0	1.58496250072116	0	0	0	0	0	0	0	1	2.58496250072116	0	0	0	1.58496250072116	0	0	0	2	1	2	1.58496250072116
IRF5	8.81057163474115	9.21916852046216	8.69696752623429	4.90689059560852	7.49984588708321	8.6724253419715	9.01402047031493	4.16992500144231	8.61470984411521	6.22881869049588	5.70043971814109	8.01680828768656	8.06069593168755	7.76155123244448	8.95419631038688	9.16239132875691	7.33985000288462	7.7279204545632	7.14974711950468	6.35755200461808	8.49585502688717	7.27612440527424	6.64385618977472	7.94251450533924	9.11894107272351	4.70043971814109	5.4594316186373	8.37503943134693	8.11374216604919	7.49185309632968	6	9.06608919045777	7.18982455888002	8.29462074889163	9.26912667914942	6.98868468677217	7.84549005094438	7.36632221424582	8.0389189892923	6.4093909361377	8.12412131182919	8.2336196767597	6.87036471958341	8.29920801838728	8.43045255166553	6.95419631038688	7.97154355395077	8.87958324961278	6.59991284218713	6.18982455888002	9.4241662888181	9.42206476617281	8.4178525148859	7.83289001416474	10.1098306542788	7.8073549220576	6.04439411935845	4.58496250072116	11.3032099489448	9.08214904135387	7.97727992349992	8.94251450533924
ITGA1	10.0209799389042	11.8982234712156	12.3037807481771	9.70735913208088	10.3106127816595	12.129283016945	12.1279943209764	9.55842071326866	10.496853777388	12.2914585187823	9.93369065495223	11.1369911120802	11.3089078040639	10.9410476063406	10.9053870050181	12.2517782570359	10.8680508537452	11.4501802471648	11.775198728898	13.1541852092653	11.0980320829605	11.1586096882145	9.71596199025514	12.8175832886776	11.1234747982441	9.59991284218713	10.9366379390026	12.7347096202258	11.582612451267	10.4470832262097	8.69696752623429	11.3026389237876	10.1344263202209	10.7116669735643	11.007027266894	11.5631962722167	11.7456743240021	11.5216004397237	11.706064267335	9.58871463558226	9.70908381255034	11.7397806097733	9.65999589242998	9.88417051910844	11.6737507394381	10.2106713437856	11.5077946401987	10.2573878426927	10.729620743553	9.19475685442225	11.2485206049384	10.9233274854192	11.8388099857086	10.0402897210257	12.9168124977098	10.0940776856719	11.0389189892923	8.59991284218713	12.8525295094042	12.4486325677306	10.7764330324447	12.0213270326244
MCAM	11.2395985292491	13.7606160031563	14.5110113528822	11.5097750043269	11.9844184588011	11.5631962722167	12.2012050072995	11.8253563414793	12.9021866623872	13.1828598640429	13.2620948453702	12.9545598469998	13.2625353405263	13.9164393225808	14.5032667344211	14.3532157599674	13.763004829586	13.7378810768578	12.2511865035243	13.7571816328167	13.2039597032395	12.1538686552232	11.9890396369624	12.8069523282107	13.1941412388631	10.6320864128352	13.6129836503454	14.1259784261721	14.4242319121	12.7538435083116	11.3564519702218	12.2039597032395	12.902375114486	15.6387187232833	13.2051823262286	12.4080643199147	13.2367616635716	13.2482240896685	13.53065017975	11.9683067944308	11.8548683832602	14.1291219928876	11.1478408936723	13.0478055540076	13.2028890575199	11.7021726853655	12.3561768305164	12.9885071789232	14.102877893637	10.8392037880969	14.1191843123971	12.8352609186275	15.100210604883	11.2137117981057	14.9194220243351	13.8027182959832	13.3659122994708	11.4304525516655	13.8512610344294	14.6380398878204	11.6252522217469	14.4154116849974
SPA17	7.82654848729092	6.68650052718322	8.96289600533726	6.75488750216347	6.04439411935845	7.35755200461808	7.33985000288462	4.4594316186373	7.71424551766612	9.35974956032233	7	7.5077946401987	7.90086680798075	7.8073549220576	7.97154355395077	8.01122725542325	6.94251450533924	8.2667865406949	6.93073733756289	8.88874324889826	8.8073549220576	7.84549005094438	6.28540221886225	8.39231742277876	9.07681559705083	5.70043971814109	5.39231742277876	8.19967234483636	7.19967234483636	8.45532722030456	7.74819284958946	7.4093909361377	6.83289001416474	9.16239132875691	6.37503943134692	6.55458885167764	8.18487534290828	7.6724253419715	8.22881869049588	5.75488750216347	8.18982455888002	9.12670447284319	6.98868468677217	6.02236781302845	6.97727992349992	5.75488750216347	8.04439411935845	8.08214904135387	9.21674585819531	8.26209484537018	8.15987133677839	7.25738784269265	8.86108690599539	7.06608919045777	8.26209484537018	7.83920378809694	9.41151098801207	8.20945336562895	8.05528243550119	7.90689059560852	8.43462822763673	8.43045255166553
