Sample_ID	Pt_23	Pt_54	Pt_11	Pt_46	Pt_44	Pt_5	Pt_24	Pt_2	Pt_50	Pt_60	Pt_61	Pt_45	Pt_37	Pt_38	Pt_28	Pt_8	Pt_7	Pt_19	Pt_4	Pt_57	Pt_53	Pt_32	Pt_51	Pt_40	Pt_42	Pt_47	Pt_49	Pt_22	Pt_27	Pt_20	Pt_18	Pt_14	Pt_43	Pt_59	Pt_10	Pt_29	Pt_31	Pt_33	Pt_1	Pt_52	Pt_25	Pt_34	Pt_30	Pt_15	Pt_6	Pt_3	Pt_55	Pt_35	Pt_12	Pt_26	Pt_36	Pt_39	Pt_48	Pt_13	Pt_16	Pt_17	Pt_58	Pt_21	Pt_62	Pt_9	Pt_41	Pt_56
FAS	8.19917714172013	6.28212399381427	8.31946621101417	6.56783690483537	6.18344137301998	8.07052720670623	6.75461402705296	7.38730996654234	6.6189854002247	8.85288772509266	6.15753870391703	6.65930422491694	6.56363580687042	6.65416502415995	6.41713506204168	5.66647909206671	6.78294016631216	7.46442281901192	6.02124477951952	7.52834209070041	6.54374273833568	6.6554108340315	5.58387367519525	6.39648774493723	5.95145780015003	4.45405582547482	6.28312831063639	6.60618093040908	5.15623769500446	5.75037350955047	7.51368929733781	6.63600721626804	6.84182753074224	6.55026183971859	7.07418549017978	6.17976068653126	5.61471947286917	6.04027152242419	7.05268911784221	7.26423684929412	4.95531250980963	6.0649132099621	6.26396049463282	6.43877361661562	5.22067962088245	5.23102902285017	5.26978463872793	6.79562729371968	6.07665793950796	6.44188599968498	6.33271142054704	5.28422740635443	5.02575134224697	6.1871000468986	4.92968056483332	6.2446000958724	6.1234635515788	4.83466788002128	6.0255559372867	5.20187451956005	4.95202282061696	4.97235560914454
FLT3	5.54530527656957	4.41972252097041	5.61233883713337	5.57288414189684	4.73021214359173	4.77502777129648	4.6899425128851	3.97066800954359	5.01859475171368	3.75593066928505	4.87814384558901	4.64501454610623	4.51366885287066	5.04151907075973	4.41601577399707	4.69536295703482	4.5094068095808	4.31727690133647	4.81586620800657	4.03066624057745	5.40921774933895	4.91984063656926	4.7818919781693	4.2251990023625	4.50343042176752	4.84089731446717	4.20781848397534	4.76539653458564	4.34814881929579	4.7788276161222	3.80463152991321	4.67436379092783	3.97951491793783	5.06552675378646	4.25640706888	4.65962751219484	4.61703129573313	4.60555011858434	4.05706291413885	4.24485777718843	4.17859299970997	4.49190075758752	4.43395992804327	4.22652181240662	4.12833398021405	4.79656034255118	4.6146898175447	4.69153808769433	4.51486526815718	3.85496649716057	3.6815777502261	4.59758245656599	4.37572884693738	4.40647133427331	4.93945281272291	4.32713953231223	3.78906031598567	4.72532067603772	3.70993647419358	4.21504715570197	3.75928546449972	3.59487797379446
FOXP3	5.77560185703167	5.84310992337908	5.71203186301567	4.6656946124397	5.16724447120086	5.70387786409928	5.95260380608096	5.25076622637744	4.76784038492854	6.69397977137565	4.96867465494804	4.85914010582892	6.26374019295162	5.5365815125745	5.86274112961875	5.41635028301336	5.93277298637803	7.14527657555424	6.31135118510252	5.61744711627163	5.34788405530373	5.33301827054252	5.79810706599237	6.42494573668105	5.25144099092347	4.79473943322135	5.05410170283083	5.56922055319547	5.62188440564615	5.83999434048405	5.94823333022111	4.32588046945937	4.08296942364361	5.94390675714767	4.19007521029747	5.35732107420806	4.27031878925315	5.35051314127317	5.30238211692326	4.67440035293536	4.83735237754873	5.79676380268115	5.70776440346967	4.4745806082465	6.06648850755386	6.12741772145812	5.21193315834421	4.36552609710309	5.14850242149498	4.63112079724313	5.65895568419376	5.40585862007394	5.13018326488478	5.01091601994392	5.29566033042475	5.89867260082339	4.88739380502736	3.99661086833509	4.06514468958855	4.85416477812536	6.14877642368169	4.59252344005574
ICAM2	6.63912226448288	6.05848485186531	6.63925342614606	5.61170489534273	6.71352303482888	7.0289709653324	7.12448864022852	6.33699668961702	7.86343752593231	6.74899755487394	7.07986912067539	6.8193895340802	6.7767094702023	7.12627528542458	7.19389845888146	7.31015129712139	6.39343376454342	6.98117721967222	6.58824770902639	6.86886841706139	7.46331964326452	7.02458584086789	7.12932999037335	7.76072963210258	7.41557684323411	6.15920785272771	7.72666972512354	7.37804895719846	7.46339509908509	6.26464021576467	6.94099634993676	6.77443571326881	6.69040337794791	7.86535517014246	7.09812953210232	7.18720243944644	6.81593414871774	7.98560850312979	6.80455285008808	8.25757156743752	7.27846399260558	7.26099301933554	7.51229477318883	7.1596416447061	7.72738356148532	7.66396262180363	7.36463920370581	7.10206719910604	7.77569269347364	7.47220342610398	6.82478303024862	6.68300503291827	7.54236636539344	7.87747349283568	7.62043412160497	7.23890574534078	7.68487097965782	8.22895509100911	8.40157489076202	7.83505500751055	7.83362047923218	8.20990578194991
IL11RA	7.11951910913618	6.66415171877982	6.66209024239247	6.75403023118595	7.40057632941985	8.6112800931444	6.31399785755252	7.30553171107696	8.41583995586683	6.1121754716033	7.16384621041234	8.40392878746018	5.74573759849831	6.99287421606042	7.48638113015043	6.39260223615245	7.09602887017451	7.27782993108478	6.89589070568159	7.76713764335077	8.03373504326269	7.19364881112707	6.96828704305674	8.06184110337469	9.34369314391524	6.71489076210882	6.72651843892812	7.88158449374791	6.23589281985125	6.84515346493336	6.70421132193586	6.94749906656024	6.75907292408677	7.14207413168647	8.40999438482945	7.7173829950737	7.10880894197294	7.84009352954505	5.75110772461899	9.07074089840423	5.56529154077146	6.32032061758565	5.67566248233052	7.22722754726036	6.33716440663112	7.24951688097701	7.02977361008029	7.41395148282304	6.65508309507659	6.40425717901693	7.15675898907367	5.66329723466323	5.37912186336779	6.20373331696932	6.12690718227261	5.79699492741369	6.51831570618883	6.13389208886601	6.34500970689816	5.27087283464994	5.01122405629658	5.19067438065201
IL19	4.82091752453571	4.12811661102098	4.48831123003159	4.5101435521538	5.32766688137681	5.4255811631875	4.51615539583163	4.73212310786805	4.40129146710894	4.55142668417155	3.82649282360076	4.46141029586285	4.67306020380039	4.31276074243054	4.75121859961001	5.15211279893562	4.16643106817805	4.72955714986276	4.46888973784347	4.57786879066105	3.63396000581909	2.85899434207516	4.30892301127673	4.52153084223335	4.87705870922924	4.63975423695988	4.09809224126959	4.43643718243872	3.65906125866569	3.42964213605991	3.68495370150657	3.34028446265387	5.14223787496952	4.754845546006	4.17239624679196	4.38212270052947	4.21394196699233	4.57874549217812	2.84033385568822	5.57962722103244	4.2832093645044	3.29717900815905	3.90497694881074	5.12777661119789	4.24603204361793	4.201250857377	4.14321593661174	3.60407633067154	3.77947665812094	4.52129912253112	3.43495710127151	4.26965931219099	3.29010759941939	4.75698691789417	3.09318485889327	3.38178178067737	4.1719891874044	3.24613517329718	4.33244353337261	2.75653472284151	4.10216711424976	3.43042413099396
IRF5	5.56833023030908	5.8258113436595	5.99857707717591	5.94542785829261	6.31208274640373	5.19848042421003	5.86084191737809	5.77007055464027	5.39758471874268	4.68059945809416	5.79160086298105	6.62875490554612	6.28640237797176	5.68428643633519	6.04430176786437	5.67576572043797	6.12057901206113	5.8504199175208	5.76116081437642	6.00253569398187	5.3147767549507	6.16985903686766	5.91652816585491	5.75510572347113	5.6931546170546	6.49488899883478	5.68939371169142	5.93597988735418	5.62778499050743	5.97187831493909	5.68335460410005	6.33806404816643	5.79728279261181	5.48099422316375	5.98335199748705	5.69197389389107	5.10993743454974	5.68635692047862	5.67425579636471	4.89925710475739	5.85804304232342	5.59887683906635	5.66751397353366	5.9711641142652	6.05456182024778	5.7417622534604	5.95673009072341	5.46849289846246	5.46342711400441	5.47213254125316	4.9897299977631	5.12515641343987	5.38525971783353	4.95130432196435	5.90632520235576	5.52015745066803	5.148438859548	5.19309936964185	4.80867259432895	5.4542161861733	5.92163945949654	5.83172944623372
ITGA1	7.71939131605956	8.23864514200259	9.08746676235993	7.01014526760564	8.31663382188653	8.64441109136088	8.23311103783257	7.74827558245743	8.40482262304511	7.37858482652738	8.26139246195986	9.53090258716486	7.64239800857129	7.77447193842283	8.73002656433505	7.97549202166551	9.61566576742564	9.50517130527725	8.70464796983974	8.54821717121366	8.2087522350598	7.64001676616884	8.62544983037294	7.83934078596079	8.53180430921172	8.05830350478877	9.15108956992625	8.67742474137362	8.28758503894282	8.87403396793994	6.99761534591882	6.24603164205511	9.3579150015432	7.79434150613816	9.56825888785997	8.39028144385402	8.20549174977691	7.97298694980473	9.73299221859046	8.83044559043771	8.52552201087327	7.31989933802617	9.41083449920445	9.25978742759913	9.41895155171039	9.10959138415758	9.34945926730504	8.28102412917545	9.23582368481181	9.07456953081921	10.2423573553116	7.6224042058434	7.35951226182046	9.40090225948529	8.37745341583365	9.1626750945391	9.20224829861173	8.64922065271348	9.54092372166844	9.1812091439386	8.98407702570813	9.24861162497502
MCAM	8.37873748026148	7.64935413561189	8.15803336715268	7.12649875737602	9.31902795539992	8.81576514377253	8.24209080021163	7.80171496479969	8.42573287863908	7.50210794275514	8.7899060987596	8.89605467808209	8.55514063295767	7.4278949197821	7.77444095231803	9.11992654951204	8.29752478125832	9.20745005484219	8.63521712932391	7.95521024068908	8.81107621162184	8.41397350975404	9.20041651164369	8.04922355367435	9.33045737927631	10.0705514702994	8.22778641826009	9.47359575687724	8.80366827428792	9.41838830817693	7.44352978184131	8.40418316596092	9.77823200124696	8.51816445187941	9.43985369453875	9.5013642824894	8.44577654079422	8.59059397605541	8.16233591158872	9.31984361158649	8.54037895771489	7.30244298020495	8.91027284146577	9.00988391501117	9.3723593663184	9.69215381164724	9.31698230090124	9.09667380311686	10.0861298138925	9.91017900954589	9.1724508225524	8.74723846636064	9.01465959753582	9.63668582466943	9.77083096127766	9.19050119018541	9.54209626007242	9.57629364138893	9.30142210408325	9.96395430522085	9.47878694456086	10.439003241981
SPA17	6.1280462202886	6.10176990927987	7.2815732036182	5.27314911658785	7.89593605243996	6.90072952241425	6.7649150114302	7.83005059820771	7.04909570582509	7.22074262001345	6.11634750895624	6.42761408496252	6.44470122335048	7.14429167182151	6.92888373155697	6.47845811968129	6.28470244427097	7.39609701387633	6.95758074895587	6.80462583772403	6.77274775427919	7.20745513916163	6.91321769228153	7.4585802369025	7.63334595662046	6.82475176306978	5.91569820246044	7.44541175611468	8.0461987171836	6.41965458919089	7.60201418310776	7.75621575457832	7.65757786875795	7.84133501425684	7.07342361982775	7.04038211838742	6.37290285139014	8.32422736301138	7.89777023942628	7.40560162953795	6.10403977253693	8.0578599450296	7.79606721346671	7.1884822107719	7.44756763546059	7.81478719194458	6.85632813281941	7.14522337900753	6.3660598726802	7.08710239127016	7.66165507085832	9.18417071944006	8.08505217434894	7.68696365167658	8.39763388994131	7.8068548640747	8.02226898851356	8.14404186112955	7.26153026204647	7.95585517623059	7.10581735665972	7.74326570729168
TNFRSF18	5.85113904648846	8.11602992355064	6.46921368785139	6.50968465126212	7.08563010717735	5.41846149489061	6.54198369511843	6.50219823389213	6.96327550558496	5.56934506863887	8.28871993627044	6.54870543302249	6.45401970805296	6.84512259866028	6.78029471015616	7.31859078900323	6.32715158343103	5.98942109204994	6.44758095516262	5.55403873306691	6.44997465743809	5.27079697358744	6.3610749458143	7.83102001096089	7.49236963785042	6.15911274360958	7.11868457865015	6.62270356172853	8.14005047131692	5.39252566488265	6.05461789324353	5.95934393275291	6.2230816311368	6.08838407443939	5.23103189906941	6.37354673077304	6.28196971629996	6.0417702652953	5.32958151999202	6.40240166069445	6.53137120026495	6.09430254017007	6.03877577171239	4.86056983503192	5.93556828451767	6.28758394478212	6.08013557574013	5.0328805393171	6.8509599871519	6.12798385496578	6.50294245918429	6.09084202170663	6.31668048489231	4.92652406035417	5.51024681455416	6.3024060605954	5.27098788539445	5.5839171412137	5.16261044691755	5.47222736715928	5.30618056631213	5.12000187168588
