Gene_ID	Pt_2	Pt_11	Pt_12	Pt_15	Pt_18	Pt_22	Pt_23	Pt_25	Pt_26	Pt_27	Pt_28	Pt_29	Pt_33	Pt_36	Pt_38	Pt_39	Pt_41	Pt_42	Pt_43	Pt_46	Pt_47	Pt_48	Pt_50	Pt_51	Pt_52	Pt_53	Pt_54	Pt_55	Pt_57	Pt_58	Pt_59	Pt_61	Pt_62
LAG3	6.89881534393157	6.42051511202895	6.10102049094804	4.94218723082271	6.59548907031754	5.41514893525698	5.04396998668312	5.55476445808092	6.03262463536783	6.17863403922138	6.04455804466505	5.89126276310712	6.5701213616942	6.00660276618036	5.77598970021818	6.13600087011723	4.87394212105995	6.53062839739074	6.42135301518942	8.07853645341643	5.93518270670851	6.0781874742389	6.99726071595599	5.18437571468574	6.03873805206589	6.84878793133005	6.68036940985111	7.40042397246644	5.71879802848875	5.68404314174863	6.03610930723982	7.11893539368173	4.63593726573356
LAIR2	8.12769086847769	8.02361732213513	7.0620780150338	7.43377176785682	8.18320333971092	7.61316812352753	8.1282543834223	7.83866066484019	7.86455488409011	7.081602611124	7.23066961460166	7.78647569100245	7.32448170417012	7.50866237202478	7.49997711894871	7.62170767087226	7.95176380545422	7.44975610542832	6.71199793115687	8.92018680156324	8.33682708203008	7.60057705458942	7.3381201244264	7.82314109465376	7.2976785213991	7.27350603096131	7.34565636253389	7.66650765260115	8.11964135249235	7.7286031974369	7.08529691510366	8.21609820908708	6.51131020490902
LAMP1	10.970968188798	10.3452566808831	10.223487516522	10.9052311717265	10.8147973077962	11.7081005476386	11.474004031081	10.6701873065298	10.903902064083	10.0952935102731	11.4762572284823	11.2379926852602	10.9362898191698	10.671218577602	10.7714882257842	11.594275676163	11.9703541728684	10.8807102090075	10.8397822016921	11.8182512427718	11.2154652871903	10.5964993459672	11.2509981873999	10.5741152636399	10.6164962095335	10.6255597646867	11.4737404433302	11.6694034449455	11.5547408872921	11.9739215263644	10.2519164969919	11.1130658296627	10.331917321691
LAMP2	9.72648256375358	8.679881884588	7.94930802420653	9.77507604301413	7.93131884126157	8.67838798688412	9.46848977101219	8.85532895145513	8.57054091329752	9.08119798374317	9.86592737343134	9.21859295595133	7.48252318287265	10.2618905080479	8.30532937480156	9.54165591253651	8.48930688097188	9.61135474269666	9.96569265962163	10.7537885633646	10.6226370650842	9.59854860334073	9.88024254466489	9.12527921537369	9.93993038945257	10.0967886918849	9.5849090047154	9.72211843249272	9.26306077035561	8.57983989271644	8.76122960966513	9.73433787970637	9.39452181494197
LAMP3	4.70721113667718	5.1918710236785	5.46125903267771	4.67783715272277	5.8670064831694	6.41101704814484	6.48445236766404	4.25160059644971	5.11724862378892	5.13065931644348	4.67264938584718	6.05710238610338	4.78390197445439	4.50010404999577	5.43026244857027	4.50740982841041	5.14259531000172	4.03298498523482	6.71485021680143	5.96165927143693	5.13138604254967	6.69747478228063	6.03250834725533	5.32911130783153	4.8374880647873	7.48495788710599	7.09033049200403	7.94850430442634	4.41084645992651	5.92750297097004	5.20358317615441	6.45923493568168	5.35715914528466
LBP	7.27288295208462	3.70171526253179	4.22884917562548	3.88348407967454	9.99287814406645	3.59256204564289	4.10411994720573	3.56160653089121	3.73043352985309	3.77249761493773	3.93810513851919	4.69875693619556	4.12072057612156	4.39698775655065	4.73257943948249	5.83042753075725	4.59511983485997	3.66811489923732	4.64723719028224	4.91221470695716	5.3717850550603	4.58231093929379	5.80481081018944	4.83758134971378	5.02599327752382	5.22740882992965	4.42207205184445	4.054666923761	2.68987646243608	5.0396827859147	4.69413014117717	3.13254638971436	6.34989075424955
LCK	4.78366629957516	5.59140041309113	5.16491348872582	4.70075913949627	6.17722240786834	5.47866269052728	4.98977538419086	5.83957435145344	5.28605683650537	5.11790728435304	5.30339994591692	5.74630235886365	5.61313121597269	5.24545621569002	5.48754412423537	5.37449738160966	5.31020457681045	5.48469670014604	5.03265440309909	7.02286782939087	4.53874928424777	7.15302433064481	5.71324366852991	5.40669203664654	4.89685062714748	6.45266676549063	6.55887171709588	5.73220403614132	5.25839042967119	5.45772657927707	5.24210459238923	6.22314483610936	4.65430463380207
LCN2	4.32557077191846	5.00804306090523	4.01114534747068	4.25870793862515	3.54875287662231	4.52829705915571	4.31584479329553	4.96564962795176	4.66877338971292	5.15808634455328	4.1521751166305	4.28744575796947	4.56758065237497	4.03645437390453	4.42862605636307	4.65949750232447	2.51933480422629	4.7527419270579	4.43136619579253	4.64121067003645	4.53562655701461	5.239007277951	3.29156128446289	4.41534013527594	4.14614037108164	3.43331248999184	4.41516797014656	5.00306240202402	4.29106721566627	4.15966281201213	4.38738394717032	3.99680198382551	4.55921501821507
LCP1	9.68664109759203	8.5440754650154	9.57458962029283	8.84656704969859	10.0246105973046	9.58892327657621	9.06488034974074	10.6766208351856	9.71620967460846	11.1431941996491	10.0855946036259	8.51291100277168	9.55002523239622	9.32924160702092	7.97069824837987	9.72540068912421	9.04282213221001	8.81223539449319	9.46864680020101	9.31835387346295	8.36586311414617	9.93316441002441	8.24811890012029	9.20992430877951	8.373567907269	8.75510200300227	9.60603488050537	9.12710661421892	8.63643120353669	9.15777253648134	9.64037808770606	9.66846441969967	9.1502139355069
LGALS3	11.8895289481182	8.80432468653745	9.61344149571778	11.6184084023679	10.1092933275352	11.2495520878076	10.5654653304228	9.40942430829224	10.0072591979175	9.97802588557294	9.79629831823408	10.255204776068	10.3914338594276	10.9368293580688	9.51368902314554	9.71796449075002	11.2600811736985	10.0167738425611	9.41599311020297	7.24692261093045	9.22451798556112	8.75364853415073	9.95398312908301	9.47860587068647	10.5213104886928	8.69396460530315	9.73752930662685	8.78331820028108	9.8805915452207	11.4734817878863	9.48077730870487	9.03164965635501	10.2854297358938
